ID,Gen,Origin,CompositionSm,CompositionFe,Enthalpy,Volume,Density,Mag_moment,KPOINTS1,KPOINTS2,KPOINTS3,SYMM,Q_entr,A_order,S_order,magmom,magmom_pv,magmom_pa,energy_substance_pa
1,1,RandTop,1,12,-97.971,167.877,8.116,-0.11599999999999999,3,3,3,166,0.166,3.2689999999999997,2.639,19.473732000000002,0.116,1.4979793846153848,0.47276923076923194
2,1,RandTop,1,12,-99.471,170.343,7.997999999999999,-0.151,3,3,2,3,0.221,2.305,1.632,25.721792999999998,0.151,1.9785994615384614,0.3573846153846165
3,1,RandTop,1,12,-99.21700000000001,163.183,8.349,-0.127,3,3,3,8,0.19899999999999998,2.5610000000000004,1.92,20.724241,0.127,1.5941723846153846,0.37692307692307736
4,1,RandTop,1,12,-100.551,158.31799999999998,8.606,-0.153,3,3,3,1,0.196,2.17,1.669,24.222654,0.153,1.8632810769230768,0.2743076923076936
5,1,RandTop,1,12,-100.044,161.356,8.443999999999999,-0.153,3,2,3,1,0.21899999999999997,2.2769999999999997,1.63,24.687468,0.153,1.899036,0.31330769230769395
6,1,RandTop,1,12,-101.07600000000001,163.014,8.357999999999999,-0.142,2,4,3,6,0.207,2.628,1.9669999999999999,23.147987999999998,0.142,1.7806144615384614,0.23392307692307776
7,1,RandTop,1,12,-100.53299999999999,160.559,8.486,-0.14800000000000002,4,4,2,1,0.203,2.68,1.985,23.762732,0.148,1.8279024615384616,0.2756923076923101
8,1,RandTop,1,12,-101.573,165.34799999999998,8.24,-0.154,4,3,2,10,0.18600000000000003,2.7260000000000004,2.134,25.463592,0.154,1.958737846153846,0.19569230769230964
9,1,RandTop,1,12,-100.016,145.44,9.368,-0.006,3,3,4,38,0.145,2.946,2.488,0.87264,0.006,0.06712615384615385,0.31546153846153946
10,1,RandTop,1,12,-100.616,167.398,8.139,-0.166,3,3,3,1,0.20600000000000002,2.2430000000000003,1.669,27.788068,0.166,2.137543692307692,0.26930769230769375
11,1,RandTop,1,12,-100.32700000000001,164.396,8.288,-0.128,3,2,4,1,0.204,2.515,1.883,21.042688,0.128,1.6186683076923076,0.291538461538462
12,1,RandTop,1,12,-100.195,168.386,8.091000000000001,-0.16399999999999998,4,3,2,1,0.222,2.408,1.72,27.615304000000002,0.164,2.124254153846154,0.30169230769230965
13,1,RandTop,1,12,-102.712,161.596,8.431000000000001,-0.141,2,4,4,123,0.14,3.6180000000000003,3.032,22.785035999999998,0.141,1.7526950769230767,0.10807692307692426
14,1,RandTop,1,12,-99.725,165.275,8.244,-0.129,2,4,3,6,0.226,2.6430000000000002,1.844,21.320475000000002,0.129,1.6400365384615385,0.33784615384615574
15,1,RandTop,1,12,-99.83,161.614,8.43,-0.109,2,3,4,6,0.214,2.758,1.9780000000000002,17.615926,0.109,1.355071230769231,0.3297692307692323
16,1,RandTop,1,12,-101.435,161.566,8.433,-0.154,4,3,2,8,0.17,2.7960000000000003,2.2359999999999998,24.881164000000002,0.154,1.9139356923076924,0.20630769230769358
17,1,RandTop,1,12,-102.404,164.90200000000002,8.262,-0.138,2,4,4,12,0.163,2.89,2.338,22.756476000000003,0.138,1.7504981538461541,0.13176923076923247
18,1,RandTop,1,12,-100.906,160.705,8.478,-0.156,3,3,3,8,0.188,2.4619999999999997,1.913,25.06998,0.156,1.92846,0.24700000000000097
19,1,RandTop,1,12,-100.693,163.535,8.331,-0.159,2,4,3,1,0.217,2.248,1.62,26.002064999999998,0.159,2.000158846153846,0.263384615384617
20,1,RandTop,1,12,-100.285,162.63299999999998,8.378,-0.141,3,3,3,1,0.20800000000000002,2.276,1.68,22.931252999999995,0.141,1.7639425384615381,0.29476923076923245
21,1,RandTop,1,12,-99.648,168.438,8.089,-0.165,4,4,2,1,0.212,2.344,1.716,27.79227,0.165,2.137866923076923,0.3437692307692325
22,1,RandTop,1,12,-99.49600000000001,160.62,8.482999999999999,-0.16,3,3,4,6,0.23199999999999998,2.5989999999999998,1.777,25.6992,0.16,1.9768615384615384,0.35546153846153916
23,1,RandTop,1,12,-102.45700000000001,171.328,7.952000000000001,-0.147,4,4,2,12,0.136,3.3569999999999998,2.823,25.185216,0.147,1.9373243076923077,0.12769230769230852
24,1,RandTop,1,12,-100.46,169.8,8.024,-0.142,3,2,3,1,0.17300000000000001,2.283,1.835,24.1116,0.142,1.8547384615384614,0.2813076923076942
25,1,RandTop,1,12,-100.62700000000001,149.865,9.091000000000001,-0.162,5,4,1,1,0.09300000000000001,2.984,2.721,24.27813,0.162,1.8675484615384617,0.26846153846153914
