,crystal_descriptions,energy_substance_pa,magmom_pa,SYMM,Sm-18-coordinate,Fe-11-coordinate,Fe-8-coordinate,Fe-cuboctahedral,Fe-13-coordinate,Fe-body-centered cubic,Fe-10-coordinate,Sm-16-coordinate,Fe-14-coordinate,Fe-9-coordinate,Fe-12-coordinate,Sm-20-coordinate,Fe-15-coordinate,Sm-2-coordinate,Fe-2-coordinate,Sm-cuboctahedral,Fe-7-coordinate,Sm-6-coordinate,Fe-1-coordinate,Sm-14-coordinate,Sm-8-coordinate,Fe-6-coordinate,Sm-17-coordinate,Sm-10-coordinate,Sm-12-coordinate,Sm-11-coordinate,Sm-octahedral,Sm-3-coordinate,Fe-single-bond,Sm-4-coordinate,Fe-hexagonal planar,Fe-3-coordinate,Fe-16-coordinate,Sm-15-coordinate,Sm-7-coordinate,Sm-5-coordinate,Fe-q6,Fe-5-coordinate,Sm-19-coordinate,Sm-linear,Fe-bent 150 degrees,Sm-13-coordinate,Sm-1-coordinate,Fe-4-coordinate,Sm-9-coordinate,Fe-linear,Fe-17-coordinate,Sm-22-coordinate,Fe-18-coordinate,Sm-body-centered cubic,Sm-bent 150 degrees,Fe-20-coordinate,Fe-square co-planar,Fe-trigonal planar
8,Sm1_18-coordinate_1.0|Fe1_11-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_cuboctahedral_0.7|Fe4_13-coordinate_1.0|Fe5_body-centered cubic_0.5|Fe6_8-coordinate_1.0|Fe7_10-coordinate_1.0,0.1956923076923096,1.9587378461538465,10.0,1.0,1.0,1.0,0.7,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_14-coordinate_1.0,0.1080769230769242,1.7526950769230767,123.0,,,1.0,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_10-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_13-coordinate_1.0|Fe6_9-coordinate_1.0,0.1317692307692324,1.7504981538461537,12.0,,,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Sm1_16-coordinate_1.0|Fe1_12-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_body-centered cubic_0.5,0.1276923076923096,1.937324307692308,12.0,,,,,,0.5,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sm1_18-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe3_cuboctahedral_0.6|Fe4_cuboctahedral_0.6|Fe5_cuboctahedral_0.7|Fe6_12-coordinate_1.0,0.1632307692307703,2.0146458461538463,10.0,1.0,,,0.7,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.1154615384615399,1.7741704615384617,65.0,,,1.0,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.1834615384615399,2.0386578461538463,12.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Sm1_18-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_13-coordinate_1.0|Fe5_10-coordinate_1.0|Fe6_12-coordinate_1.0,0.1775384615384631,2.0415544615384613,2.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Sm1_2-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_10-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4|Fe6_14-coordinate_1.0|Fe7_10-coordinate_1.0|Fe8_13-coordinate_1.0|Fe9_13-coordinate_1.0|Fe10_8-coordinate_1.0|Fe11_14-coordinate_1.0|Fe12_8-coordinate_1.0,0.187769230769232,1.858102615384616,8.0,,,1.0,,1.0,0.4,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.7|Fe4_cuboctahedral_0.6|Fe5_12-coordinate_1.0|Fe6_12-coordinate_1.0,0.0958461538461556,1.844471,12.0,,,,0.6,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_10-coordinate_1.0|Fe5_11-coordinate_1.0|Fe6_8-coordinate_1.0|Fe7_11-coordinate_1.0|Fe8_8-coordinate_1.0|Fe9_13-coordinate_1.0|Fe10_9-coordinate_1.0|Fe11_12-coordinate_1.0|Fe12_10-coordinate_1.0,0.1533846153846164,1.7392360769230772,8.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe2_cuboctahedral_0.7,0.074692307692309,2.0422295384615383,71.0,,,,0.7,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Sm1_18-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_9-coordinate_1.0|Fe6_13-coordinate_1.0|Fe7_10-coordinate_1.0,0.1738461538461553,1.916346307692308,10.0,1.0,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Sm1_16-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_body-centered cubic_0.4|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.1083076923076934,1.781112,65.0,,,1.0,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Sm1_18-coordinate_1.0|Fe1_2-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe4_cuboctahedral_0.5|Fe5_cuboctahedral_0.8|Fe6_cuboctahedral_0.5|Fe7_12-coordinate_1.0,0.1547692307692319,2.132153307692308,2.0,1.0,,,0.5,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,Sm1_cuboctahedral_0.5|Fe1_7-coordinate_1.0|Fe2_body-centered cubic_0.4|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_8-coordinate_1.0|Fe6_7-coordinate_1.0,0.190000000000001,2.1870962307692308,2.0,,,1.0,,,0.4,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,Sm1_18-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_12-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_11-coordinate_1.0|Fe5_13-coordinate_1.0|Fe6_cuboctahedral_0.7|Fe7_cuboctahedral_0.8,0.1811538461538475,2.091340153846154,2.0,1.0,1.0,,0.8,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.1818461538461552,2.055693307692308,191.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Sm1_cuboctahedral_0.5|Fe1_8-coordinate_1.0|Fe2_7-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_8-coordinate_1.0|Fe6_13-coordinate_1.0,0.1849230769230788,2.1579276923076924,2.0,,,1.0,,1.0,0.5,,,,,,,,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2052,Sm1_6-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_1-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.4|Fe5_8-coordinate_1.0|Fe6_10-coordinate_1.0,0.173230769230771,2.143139384615385,12.0,,,1.0,,,0.4,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2062,Sm1_14-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_body-centered cubic_0.5,0.18646153846154,1.948657307692308,10.0,,,1.0,,1.0,0.5,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,Sm1_2-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_14-coordinate_1.0|Fe6_14-coordinate_1.0,0.1890000000000017,1.8545032307692308,12.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,Sm1_6-coordinate_1.0|Fe1_11-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_11-coordinate_1.0|Fe4_11-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_13-coordinate_1.0,0.1886153846153855,1.7063688461538464,12.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,Sm1_8-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.1710769230769244,1.9883928461538465,10.0,,,1.0,,1.0,0.4,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
