,crystal_descriptions,energy_substance_pa,magmom_pa,SYMM
1360,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.159076923,2.154897615,191
367,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.168769231,2.184762462,191
1067,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.171538462,2.172378,191
1283,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.175538462,2.169069231,191
2280,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.180307692,2.051231538,191
1096,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.180384615,2.052652154,191
1025,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.181846154,2.055693308,191
1245,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.184692308,1.972149462,191
1304,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.186384615,1.962826077,191
1265,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.186538462,1.966545769,191
1077,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.189076923,1.955507462,191
1235,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.189076923,1.955507462,191
1317,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.190230769,1.951968923,191
1270,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.192692308,1.847611462,191
1172,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.198230769,1.826006462,191
1179,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe2_cuboctahedral_0.7,0.070076923,1.978219385,139
2140,Sm1_20-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe1_14-coordinate_1.0|Fe2_cuboctahedral_0.7,0.070230769,1.99045,139
2384,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_cuboctahedral_0.6|Fe2_cuboctahedral_0.6|Fe3_12-coordinate_1.0,0.071384615,1.956646385,139
1122,Sm1_20-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe1_14-coordinate_1.0|Fe2_cuboctahedral_0.7,0.079923077,1.837340308,139
333,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.095538462,1.747833692,139
344,Sm1_16-coordinate_1.0|Fe1_9-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.098538462,1.736473538,139
350,Sm1_16-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_body-centered cubic_0.5|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.099076923,1.739392538,139
239,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.101538462,1.740504538,139
1168,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.102769231,1.765852308,123
2325,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.6,0.106,1.745455385,123
13,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_14-coordinate_1.0,0.108076923,1.752695077,123
259,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_14-coordinate_1.0|Fe5_body-centered cubic_0.4,0.112461538,1.775016923,123
2238,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0,0.122923077,1.876661077,123
97,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe2_cuboctahedral_0.7,0.074692308,2.042229538,71
200,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe2_cuboctahedral_0.7,0.074692308,2.042229538,71
2235,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.103769231,1.755518,69
207,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_body-centered cubic_0.5|Fe3_9-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.109384615,1.768953846,69
332,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.5|Fe2_body-centered cubic_0.5|Fe3_9-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.109384615,1.768953846,69
108,Sm1_16-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_body-centered cubic_0.4|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.5,0.108307692,1.781112,65
